well,time_s,temperature_c,wavelength_nm,absorbance_a490,compound_id,concentration_uM,role,bucket,replicate,functional_class
B4,150.0,36.9,490,0.057,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,180.0,36.9,490,0.058,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,210.0,36.9,490,0.059,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,240.0,36.9,490,0.06,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,270.0,36.9,490,0.061,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,300.0,36.9,490,0.062,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,330.0,36.9,490,0.062,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,360.0,36.9,490,0.064,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,390.0,36.9,490,0.065,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,420.0,36.9,490,0.064,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,450.0,36.9,490,0.066,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,480.0,36.9,490,0.066,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,510.0,36.9,490,0.068,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,540.0,36.9,490,0.069,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,570.0,36.9,490,0.07,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,600.0,36.9,490,0.07,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,630.0,36.9,490,0.072,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,660.0,36.9,490,0.07,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,690.0,36.9,490,0.073,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,720.0,36.9,490,0.075,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,750.0,36.9,490,0.074,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,780.0,36.9,490,0.075,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B4,840.0,36.9,490,0.077,T6685,50.0,sample,tier1_inhibitor,1.0,positive
B5,0.0,36.9,490,0.047,,,,,,
B5,30.0,36.9,490,0.046,,,,,,
B5,60.0,36.9,490,0.046,,,,,,
B5,90.0,36.9,490,0.046,,,,,,
B5,120.0,36.9,490,0.047,,,,,,
B5,150.0,36.9,490,0.047,,,,,,
B5,180.0,36.9,490,0.047,,,,,,
B5,210.0,36.9,490,0.047,,,,,,
B5,240.0,36.9,490,0.047,,,,,,
B5,270.0,36.9,490,0.047,,,,,,
B5,300.0,36.9,490,0.047,,,,,,
B5,330.0,36.9,490,0.047,,,,,,
B5,360.0,36.9,490,0.049,,,,,,
B5,390.0,36.9,490,0.049,,,,,,
B5,420.0,36.9,490,0.047,,,,,,
B5,450.0,36.9,490,0.048,,,,,,
B5,480.0,36.9,490,0.048,,,,,,
B5,510.0,36.9,490,0.049,,,,,,
B5,540.0,36.9,490,0.048,,,,,,
B5,570.0,36.9,490,0.049,,,,,,
B5,600.0,36.9,490,0.049,,,,,,
B5,630.0,36.9,490,0.049,,,,,,
B5,660.0,36.9,490,0.049,,,,,,
B5,690.0,36.9,490,0.05,,,,,,
B5,720.0,36.9,490,0.049,,,,,,
B5,750.0,36.9,490,0.05,,,,,,
B5,780.0,36.9,490,0.05,,,,,,
B5,840.0,36.9,490,0.052,,,,,,
B6,0.0,36.9,490,0.053,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,30.0,36.9,490,0.053,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,60.0,36.9,490,0.053,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,90.0,36.9,490,0.053,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,120.0,36.9,490,0.054,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,150.0,36.9,490,0.055,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,180.0,36.9,490,0.055,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,210.0,36.9,490,0.055,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,240.0,36.9,490,0.055,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,270.0,36.9,490,0.055,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,300.0,36.9,490,0.056,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,330.0,36.9,490,0.056,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,360.0,36.9,490,0.058,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,390.0,36.9,490,0.057,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,420.0,36.9,490,0.057,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,450.0,36.9,490,0.057,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,480.0,36.9,490,0.058,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,510.0,36.9,490,0.058,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,540.0,36.9,490,0.058,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,570.0,36.9,490,0.059,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,600.0,36.9,490,0.059,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,630.0,36.9,490,0.059,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,660.0,36.9,490,0.058,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,690.0,36.9,490,0.06,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,720.0,36.9,490,0.061,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,750.0,36.9,490,0.061,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,780.0,36.9,490,0.061,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B6,840.0,36.9,490,0.065,T14081,50.0,sample,tier1_inhibitor,1.0,positive
B7,0.0,36.9,490,0.048,,,,,,
B7,30.0,36.9,490,0.048,,,,,,
B7,60.0,36.9,490,0.046,,,,,,
B7,90.0,36.9,490,0.046,,,,,,
